year,month,withdrawals_taxable_total,withdrawals_taxable_bottled,withdrawals_taxable_bulk,withdrawals_export_total,yoy_withdrawal_change_pct,export_share_pct,bulk_share_pct
2024,1,48330671.0,46237346.0,2093325.0,12634420.0,-3.72,20.72,4.33
2024,2,47373117.0,45481995.0,1891122.0,13335812.0,-1.43,21.97,3.99
2024,3,52831096.0,51001176.0,1829920.0,12733898.0,-14.02,19.42,3.46
2024,4,45781573.0,43600824.0,2180749.0,12272941.0,-1.95,21.14,4.76
2024,5,47128997.0,45207774.0,1921223.0,15673123.0,0.79,24.96,4.08
2024,6,52866839.0,52137163.0,729676.0,15454509.0,-10.19,22.62,1.38
2024,7,42791437.0,41005570.0,1785867.0,11730166.0,-5.1,21.51,4.17
2024,8,47786379.0,45285163.0,2501215.0,13229604.0,-5.75,21.68,5.23
2024,9,53827502.0,50067511.0,3759991.0,13721114.0,-2.92,20.31,6.99
2024,10,50252917.0,48298064.0,1954853.0,11765004.0,-1.97,18.97,3.89
2024,11,44517628.0,43240074.0,1277553.0,10812702.0,-15.32,19.54,2.87
2024,12,60443621.0,58055037.0,2388584.0,12761996.0,-4.03,17.43,3.95
2025,1,43893678.0,42325048.0,1568630.0,10786217.0,-9.18,19.73,3.57
2025,2,44393480.0,40532201.0,3861279.0,10252461.0,-6.29,18.76,8.7
2025,3,48327152.0,47082764.0,1244389.0,12350002.0,-8.53,20.35,2.57
2025,4,43312199.0,42092680.0,1219519.0,8693045.0,-5.39,16.72,2.82
2025,5,41485948.0,40066290.0,1419658.0,8358194.0,-11.97,16.77,3.42
2025,6,49439210.0,48041500.0,1397710.0,10280782.0,-6.48,17.21,2.83
2025,7,43426418.0,41553546.0,1872872.0,10309402.0,1.48,19.19,4.31
2025,8,42218875.0,,,15287153.0,-11.65,26.58,
2025,9,50690952.0,,,11819131.0,-5.83,18.91,
2025,10,47832996.0,,,9735973.0,-4.82,16.91,
