year,month,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,yoy_production_change_pct
2021,10,306515444.0,144972903.0,3028255.0,3028255.0,3206796.0,1865694.0,11.21
2021,11,255190378.0,118173154.0,3584136.0,3584136.0,3815825.0,1820267.0,26.88
2021,12,303221466.0,144248738.0,,,,4601223.0,1.99
2022,1,140542324.0,64196944.0,2405290.0,2405290.0,2091484.0,1433694.0,43.79
2022,2,86786513.0,35954481.0,4177298.0,4177298.0,1720927.0,1422378.0,-12.21
2022,3,66561292.0,22374910.0,4718249.0,4718249.0,2915772.0,2993005.0,5.71
2022,4,38865157.0,12109883.0,2737938.0,2737938.0,2548613.0,1764168.0,31.22
2022,5,33532610.0,10414097.0,1794946.0,1794946.0,2553800.0,1835358.0,40.63
2022,6,28888852.0,4305901.0,2632806.0,2632806.0,3457890.0,3727184.0,-9.69
2022,7,18446334.0,1907116.0,2146860.0,2146860.0,3462451.0,1497544.0,-12.91
2022,8,85773698.0,28019309.0,8872770.0,8872770.0,3949875.0,1907080.0,21.84
2022,9,235542063.0,106659604.0,5214224.0,5214224.0,2517327.0,3170465.0,3.66
2022,10,268943062.0,124402596.0,5356960.0,5356960.0,2605382.0,1995880.0,-12.26
2022,11,230387529.0,105871217.0,4633720.0,4633720.0,2547016.0,2076477.0,-9.72
2022,12,315507796.0,144567616.0,6512463.0,6512463.0,1189017.0,5302182.0,4.05
2023,1,122961790.0,54837249.0,3229916.0,3229916.0,1667076.0,1676731.0,-12.51
2023,2,62428135.0,23415305.0,3609968.0,3609968.0,2413459.0,1662973.0,-28.07
2023,3,62134834.0,21235184.0,3375568.0,3375568.0,2854545.0,3348802.0,-6.65
2023,4,42917199.0,13307795.0,3144143.0,3144143.0,3006758.0,1871979.0,10.43
2023,5,31372288.0,6155145.0,4229614.0,4229614.0,3085464.0,2073236.0,-6.44
2023,6,33002585.0,7887038.0,2815233.0,2815233.0,2728465.0,2910874.0,14.24
2023,7,23147139.0,4425078.0,3022599.0,3022599.0,2197998.0,1803342.0,25.48
2023,8,35728206.0,7862811.0,4948062.0,4948062.0,2724471.0,2235216.0,-58.35
